coluna A 1;coluna B 1;coluna C 1
coluna A 40116;coluna B 40116;coluna C 40116
coluna A 86;coluna B 86;coluna C 86
coluna A 15113;coluna B 15113;coluna C 15113
coluna A 30125;coluna B 30125;coluna C 30125
coluna A 10109;coluna B 10109;coluna C 10109
coluna A 45091;coluna B 45091;coluna C 45091
coluna A 25123;coluna B 25123;coluna C 25123
coluna A 25124;coluna B 25124;coluna C 25124
coluna A 20119;coluna B 20119;coluna C 20119
coluna A 5092;coluna B 5092;coluna C 5092
coluna A 5093;coluna B 5093;coluna C 5093
coluna A 35092;coluna B 35092;coluna C 35092
coluna A 40117;coluna B 40117;coluna C 40117
coluna A 87;coluna B 87;coluna C 87
coluna A 88;coluna B 88;coluna C 88
coluna A 15114;coluna B 15114;coluna C 15114
coluna A 30126;coluna B 30126;coluna C 30126
coluna A 10110;coluna B 10110;coluna C 10110
coluna A 45092;coluna B 45092;coluna C 45092
coluna A 25125;coluna B 25125;coluna C 25125
coluna A 20120;coluna B 20120;coluna C 20120
coluna A 5094;coluna B 5094;coluna C 5094
coluna A 35093;coluna B 35093;coluna C 35093
coluna A 40118;coluna B 40118;coluna C 40118
coluna A 40119;coluna B 40119;coluna C 40119
coluna A 40120;coluna B 40120;coluna C 40120
coluna A 89;coluna B 89;coluna C 89
coluna A 15115;coluna B 15115;coluna C 15115
coluna A 30127;coluna B 30127;coluna C 30127
coluna A 10111;coluna B 10111;coluna C 10111
coluna A 10112;coluna B 10112;coluna C 10112
coluna A 45093;coluna B 45093;coluna C 45093
coluna A 45094;coluna B 45094;coluna C 45094
coluna A 25126;coluna B 25126;coluna C 25126
coluna A 20121;coluna B 20121;coluna C 20121
coluna A 5095;coluna B 5095;coluna C 5095
coluna A 35094;coluna B 35094;coluna C 35094
coluna A 35095;coluna B 35095;coluna C 35095
coluna A 40121;coluna B 40121;coluna C 40121
coluna A 40122;coluna B 40122;coluna C 40122
coluna A 90;coluna B 90;coluna C 90
coluna A 15116;coluna B 15116;coluna C 15116
coluna A 15117;coluna B 15117;coluna C 15117
coluna A 30128;coluna B 30128;coluna C 30128
coluna A 10113;coluna B 10113;coluna C 10113
coluna A 45095;coluna B 45095;coluna C 45095
coluna A 25127;coluna B 25127;coluna C 25127
coluna A 20122;coluna B 20122;coluna C 20122
coluna A 5096;coluna B 5096;coluna C 5096
coluna A 35096;coluna B 35096;coluna C 35096
coluna A 40123;coluna B 40123;coluna C 40123
coluna A 91;coluna B 91;coluna C 91
coluna A 15118;coluna B 15118;coluna C 15118
coluna A 15119;coluna B 15119;coluna C 15119
coluna A 30129;coluna B 30129;coluna C 30129
coluna A 30130;coluna B 30130;coluna C 30130
coluna A 10114;coluna B 10114;coluna C 10114
coluna A 10115;coluna B 10115;coluna C 10115
coluna A 45096;coluna B 45096;coluna C 45096
coluna A 25128;coluna B 25128;coluna C 25128
coluna A 20123;coluna B 20123;coluna C 20123
coluna A 5097;coluna B 5097;coluna C 5097
coluna A 35097;coluna B 35097;coluna C 35097
coluna A 40124;coluna B 40124;coluna C 40124
coluna A 40125;coluna B 40125;coluna C 40125
coluna A 92;coluna B 92;coluna C 92
coluna A 93;coluna B 93;coluna C 93
coluna A 15120;coluna B 15120;coluna C 15120
coluna A 30131;coluna B 30131;coluna C 30131
coluna A 30132;coluna B 30132;coluna C 30132
coluna A 10116;coluna B 10116;coluna C 10116
coluna A 10117;coluna B 10117;coluna C 10117
coluna A 10118;coluna B 10118;coluna C 10118
coluna A 45097;coluna B 45097;coluna C 45097
coluna A 25129;coluna B 25129;coluna C 25129
coluna A 20124;coluna B 20124;coluna C 20124
coluna A 5098;coluna B 5098;coluna C 5098
coluna A 35098;coluna B 35098;coluna C 35098
coluna A 40126;coluna B 40126;coluna C 40126
coluna A 94;coluna B 94;coluna C 94
coluna A 15121;coluna B 15121;coluna C 15121
coluna A 15122;coluna B 15122;coluna C 15122
coluna A 30133;coluna B 30133;coluna C 30133
coluna A 10119;coluna B 10119;coluna C 10119
coluna A 10120;coluna B 10120;coluna C 10120
coluna A 45098;coluna B 45098;coluna C 45098
coluna A 25130;coluna B 25130;coluna C 25130
coluna A 25131;coluna B 25131;coluna C 25131
coluna A 20125;coluna B 20125;coluna C 20125
coluna A 20126;coluna B 20126;coluna C 20126
coluna A 5099;coluna B 5099;coluna C 5099
coluna A 35099;coluna B 35099;coluna C 35099
coluna A 40127;coluna B 40127;coluna C 40127
coluna A 95;coluna B 95;coluna C 95
coluna A 96;coluna B 96;coluna C 96
coluna A 15123;coluna B 15123;coluna C 15123
coluna A 15124;coluna B 15124;coluna C 15124
coluna A 15125;coluna B 15125;coluna C 15125
coluna A 30134;coluna B 30134;coluna C 30134
coluna A 30135;coluna B 30135;coluna C 30135
coluna A 10121;coluna B 10121;coluna C 10121
coluna A 45099;coluna B 45099;coluna C 45099
coluna A 25132;coluna B 25132;coluna C 25132
coluna A 25133;coluna B 25133;coluna C 25133
coluna A 20127;coluna B 20127;coluna C 20127
coluna A 5100;coluna B 5100;coluna C 5100
coluna A 35100;coluna B 35100;coluna C 35100
coluna A 40128;coluna B 40128;coluna C 40128
coluna A 97;coluna B 97;coluna C 97
coluna A 15126;coluna B 15126;coluna C 15126
coluna A 30136;coluna B 30136;coluna C 30136
coluna A 10122;coluna B 10122;coluna C 10122
coluna A 45100;coluna B 45100;coluna C 45100
coluna A 25134;coluna B 25134;coluna C 25134
coluna A 20128;coluna B 20128;coluna C 20128
coluna A 5101;coluna B 5101;coluna C 5101
coluna A 5102;coluna B 5102;coluna C 5102
coluna A 35101;coluna B 35101;coluna C 35101
coluna A 40129;coluna B 40129;coluna C 40129
coluna A 98;coluna B 98;coluna C 98
coluna A 15127;coluna B 15127;coluna C 15127
coluna A 15128;coluna B 15128;coluna C 15128
coluna A 30137;coluna B 30137;coluna C 30137
coluna A 10123;coluna B 10123;coluna C 10123
coluna A 45101;coluna B 45101;coluna C 45101
coluna A 25135;coluna B 25135;coluna C 25135
coluna A 20129;coluna B 20129;coluna C 20129
coluna A 5103;coluna B 5103;coluna C 5103
coluna A 35102;coluna B 35102;coluna C 35102
coluna A 40130;coluna B 40130;coluna C 40130
coluna A 99;coluna B 99;coluna C 99
coluna A 15129;coluna B 15129;coluna C 15129
coluna A 30138;coluna B 30138;coluna C 30138
coluna A 10124;coluna B 10124;coluna C 10124
coluna A 45102;coluna B 45102;coluna C 45102
coluna A 10125;coluna B 10125;coluna C 10125
coluna A 25136;coluna B 25136;coluna C 25136
coluna A 20130;coluna B 20130;coluna C 20130
coluna A 5104;coluna B 5104;coluna C 5104
coluna A 35103;coluna B 35103;coluna C 35103
coluna A 40131;coluna B 40131;coluna C 40131
coluna A 100;coluna B 100;coluna C 100
coluna A 15130;coluna B 15130;coluna C 15130
coluna A 15131;coluna B 15131;coluna C 15131
coluna A 30139;coluna B 30139;coluna C 30139
coluna A 15132;coluna B 15132;coluna C 15132
coluna A 45103;coluna B 45103;coluna C 45103
coluna A 10126;coluna B 10126;coluna C 10126
coluna A 25137;coluna B 25137;coluna C 25137
coluna A 20131;coluna B 20131;coluna C 20131
coluna A 20132;coluna B 20132;coluna C 20132
coluna A 5105;coluna B 5105;coluna C 5105
coluna A 35104;coluna B 35104;coluna C 35104
coluna A 40132;coluna B 40132;coluna C 40132
coluna A 101;coluna B 101;coluna C 101
coluna A 30140;coluna B 30140;coluna C 30140
coluna A 15133;coluna B 15133;coluna C 15133
coluna A 15134;coluna B 15134;coluna C 15134
coluna A 45104;coluna B 45104;coluna C 45104
coluna A 10127;coluna B 10127;coluna C 10127
coluna A 25138;coluna B 25138;coluna C 25138
coluna A 25139;coluna B 25139;coluna C 25139
coluna A 20133;coluna B 20133;coluna C 20133
coluna A 5106;coluna B 5106;coluna C 5106
coluna A 35105;coluna B 35105;coluna C 35105
coluna A 35106;coluna B 35106;coluna C 35106
coluna A 35107;coluna B 35107;coluna C 35107
coluna A 35108;coluna B 35108;coluna C 35108
coluna A 35109;coluna B 35109;coluna C 35109
coluna A 35110;coluna B 35110;coluna C 35110
coluna A 40133;coluna B 40133;coluna C 40133
coluna A 102;coluna B 102;coluna C 102
coluna A 103;coluna B 103;coluna C 103
coluna A 30141;coluna B 30141;coluna C 30141
coluna A 30142;coluna B 30142;coluna C 30142
coluna A 30143;coluna B 30143;coluna C 30143
coluna A 15135;coluna B 15135;coluna C 15135
coluna A 45105;coluna B 45105;coluna C 45105
coluna A 10128;coluna B 10128;coluna C 10128
coluna A 10129;coluna B 10129;coluna C 10129
coluna A 25140;coluna B 25140;coluna C 25140
coluna A 25141;coluna B 25141;coluna C 25141
coluna A 20134;coluna B 20134;coluna C 20134
coluna A 5107;coluna B 5107;coluna C 5107
coluna A 35111;coluna B 35111;coluna C 35111
coluna A 40134;coluna B 40134;coluna C 40134
coluna A 104;coluna B 104;coluna C 104
coluna A 30144;coluna B 30144;coluna C 30144
coluna A 15136;coluna B 15136;coluna C 15136
coluna A 45106;coluna B 45106;coluna C 45106
coluna A 10130;coluna B 10130;coluna C 10130
coluna A 25142;coluna B 25142;coluna C 25142
coluna A 20135;coluna B 20135;coluna C 20135
coluna A 5108;coluna B 5108;coluna C 5108
coluna A 20136;coluna B 20136;coluna C 20136
coluna A 35112;coluna B 35112;coluna C 35112
coluna A 40135;coluna B 40135;coluna C 40135
coluna A 105;coluna B 105;coluna C 105
coluna A 30145;coluna B 30145;coluna C 30145
coluna A 30146;coluna B 30146;coluna C 30146
coluna A 15137;coluna B 15137;coluna C 15137
coluna A 45107;coluna B 45107;coluna C 45107
coluna A 10131;coluna B 10131;coluna C 10131
coluna A 25143;coluna B 25143;coluna C 25143
coluna A 5109;coluna B 5109;coluna C 5109
coluna A 20137;coluna B 20137;coluna C 20137
coluna A 35113;coluna B 35113;coluna C 35113
coluna A 35114;coluna B 35114;coluna C 35114
coluna A 35115;coluna B 35115;coluna C 35115
coluna A 35116;coluna B 35116;coluna C 35116
coluna A 35117;coluna B 35117;coluna C 35117
coluna A 40136;coluna B 40136;coluna C 40136
coluna A 106;coluna B 106;coluna C 106
coluna A 30147;coluna B 30147;coluna C 30147
coluna A 15138;coluna B 15138;coluna C 15138
coluna A 45108;coluna B 45108;coluna C 45108
coluna A 10132;coluna B 10132;coluna C 10132
coluna A 25144;coluna B 25144;coluna C 25144
coluna A 5110;coluna B 5110;coluna C 5110
coluna A 20138;coluna B 20138;coluna C 20138
coluna A 35118;coluna B 35118;coluna C 35118
coluna A 35119;coluna B 35119;coluna C 35119
coluna A 40137;coluna B 40137;coluna C 40137
coluna A 40138;coluna B 40138;coluna C 40138
coluna A 107;coluna B 107;coluna C 107
coluna A 30148;coluna B 30148;coluna C 30148
coluna A 15139;coluna B 15139;coluna C 15139
coluna A 45109;coluna B 45109;coluna C 45109
coluna A 10133;coluna B 10133;coluna C 10133
coluna A 25145;coluna B 25145;coluna C 25145
coluna A 25146;coluna B 25146;coluna C 25146
coluna A 5111;coluna B 5111;coluna C 5111
coluna A 20139;coluna B 20139;coluna C 20139
coluna A 20140;coluna B 20140;coluna C 20140
coluna A 35120;coluna B 35120;coluna C 35120
coluna A 40139;coluna B 40139;coluna C 40139
coluna A 108;coluna B 108;coluna C 108
coluna A 30149;coluna B 30149;coluna C 30149
coluna A 15140;coluna B 15140;coluna C 15140
coluna A 45110;coluna B 45110;coluna C 45110
coluna A 45111;coluna B 45111;coluna C 45111
coluna A 45112;coluna B 45112;coluna C 45112
coluna A 45113;coluna B 45113;coluna C 45113
coluna A 45114;coluna B 45114;coluna C 45114
coluna A 45115;coluna B 45115;coluna C 45115
coluna A 10134;coluna B 10134;coluna C 10134
coluna A 10135;coluna B 10135;coluna C 10135
coluna A 25147;coluna B 25147;coluna C 25147
coluna A 25148;coluna B 25148;coluna C 25148
coluna A 5112;coluna B 5112;coluna C 5112
coluna A 5113;coluna B 5113;coluna C 5113
coluna A 20141;coluna B 20141;coluna C 20141
coluna A 35121;coluna B 35121;coluna C 35121
coluna A 40140;coluna B 40140;coluna C 40140
coluna A 40141;coluna B 40141;coluna C 40141
coluna A 109;coluna B 109;coluna C 109
coluna A 30150;coluna B 30150;coluna C 30150
coluna A 30151;coluna B 30151;coluna C 30151
coluna A 15141;coluna B 15141;coluna C 15141
coluna A 45116;coluna B 45116;coluna C 45116
coluna A 10136;coluna B 10136;coluna C 10136
coluna A 45117;coluna B 45117;coluna C 45117
coluna A 25149;coluna B 25149;coluna C 25149
coluna A 25150;coluna B 25150;coluna C 25150
coluna A 5114;coluna B 5114;coluna C 5114
coluna A 20142;coluna B 20142;coluna C 20142
coluna A 35122;coluna B 35122;coluna C 35122
coluna A 40142;coluna B 40142;coluna C 40142
coluna A 40143;coluna B 40143;coluna C 40143
coluna A 110;coluna B 110;coluna C 110
coluna A 30152;coluna B 30152;coluna C 30152
coluna A 15142;coluna B 15142;coluna C 15142
coluna A 10137;coluna B 10137;coluna C 10137
coluna A 45118;coluna B 45118;coluna C 45118
coluna A 25151;coluna B 25151;coluna C 25151
coluna A 5115;coluna B 5115;coluna C 5115
coluna A 20143;coluna B 20143;coluna C 20143
coluna A 35123;coluna B 35123;coluna C 35123
coluna A 40144;coluna B 40144;coluna C 40144
coluna A 111;coluna B 111;coluna C 111
coluna A 30153;coluna B 30153;coluna C 30153
coluna A 15143;coluna B 15143;coluna C 15143
coluna A 10138;coluna B 10138;coluna C 10138
coluna A 10139;coluna B 10139;coluna C 10139
coluna A 45119;coluna B 45119;coluna C 45119
coluna A 25152;coluna B 25152;coluna C 25152
coluna A 5116;coluna B 5116;coluna C 5116
coluna A 20144;coluna B 20144;coluna C 20144
coluna A 35124;coluna B 35124;coluna C 35124
coluna A 40145;coluna B 40145;coluna C 40145
coluna A 112;coluna B 112;coluna C 112
coluna A 30154;coluna B 30154;coluna C 30154
coluna A 30155;coluna B 30155;coluna C 30155
coluna A 15144;coluna B 15144;coluna C 15144
coluna A 10140;coluna B 10140;coluna C 10140
coluna A 10141;coluna B 10141;coluna C 10141
coluna A 45120;coluna B 45120;coluna C 45120
coluna A 45121;coluna B 45121;coluna C 45121
coluna A 25153;coluna B 25153;coluna C 25153
coluna A 25154;coluna B 25154;coluna C 25154
coluna A 5117;coluna B 5117;coluna C 5117
coluna A 20145;coluna B 20145;coluna C 20145
coluna A 35125;coluna B 35125;coluna C 35125
coluna A 40146;coluna B 40146;coluna C 40146
coluna A 40147;coluna B 40147;coluna C 40147
coluna A 40148;coluna B 40148;coluna C 40148
coluna A 40149;coluna B 40149;coluna C 40149
coluna A 113;coluna B 113;coluna C 113
coluna A 114;coluna B 114;coluna C 114
coluna A 30156;coluna B 30156;coluna C 30156
coluna A 15145;coluna B 15145;coluna C 15145
coluna A 10142;coluna B 10142;coluna C 10142
coluna A 45122;coluna B 45122;coluna C 45122
coluna A 25155;coluna B 25155;coluna C 25155
coluna A 5118;coluna B 5118;coluna C 5118
coluna A 20146;coluna B 20146;coluna C 20146
coluna A 35126;coluna B 35126;coluna C 35126
coluna A 40150;coluna B 40150;coluna C 40150
coluna A 115;coluna B 115;coluna C 115
coluna A 30157;coluna B 30157;coluna C 30157
coluna A 30158;coluna B 30158;coluna C 30158
coluna A 15146;coluna B 15146;coluna C 15146
coluna A 15147;coluna B 15147;coluna C 15147
coluna A 10143;coluna B 10143;coluna C 10143
coluna A 45123;coluna B 45123;coluna C 45123
coluna A 25156;coluna B 25156;coluna C 25156
coluna A 5119;coluna B 5119;coluna C 5119
coluna A 20147;coluna B 20147;coluna C 20147
coluna A 35127;coluna B 35127;coluna C 35127
coluna A 40151;coluna B 40151;coluna C 40151
coluna A 40152;coluna B 40152;coluna C 40152
coluna A 116;coluna B 116;coluna C 116
coluna A 117;coluna B 117;coluna C 117
coluna A 30159;coluna B 30159;coluna C 30159
coluna A 15148;coluna B 15148;coluna C 15148
coluna A 10144;coluna B 10144;coluna C 10144
coluna A 10145;coluna B 10145;coluna C 10145
coluna A 45124;coluna B 45124;coluna C 45124
coluna A 45125;coluna B 45125;coluna C 45125
coluna A 25157;coluna B 25157;coluna C 25157
coluna A 5120;coluna B 5120;coluna C 5120
coluna A 20148;coluna B 20148;coluna C 20148
coluna A 35128;coluna B 35128;coluna C 35128
coluna A 40153;coluna B 40153;coluna C 40153
coluna A 118;coluna B 118;coluna C 118
coluna A 119;coluna B 119;coluna C 119
coluna A 30160;coluna B 30160;coluna C 30160
coluna A 15149;coluna B 15149;coluna C 15149
coluna A 10146;coluna B 10146;coluna C 10146
coluna A 45126;coluna B 45126;coluna C 45126
coluna A 25158;coluna B 25158;coluna C 25158
coluna A 5121;coluna B 5121;coluna C 5121
coluna A 5122;coluna B 5122;coluna C 5122
coluna A 35129;coluna B 35129;coluna C 35129
coluna A 20149;coluna B 20149;coluna C 20149
coluna A 40154;coluna B 40154;coluna C 40154
coluna A 120;coluna B 120;coluna C 120
coluna A 30161;coluna B 30161;coluna C 30161
coluna A 30162;coluna B 30162;coluna C 30162
coluna A 15150;coluna B 15150;coluna C 15150
coluna A 10147;coluna B 10147;coluna C 10147
coluna A 45127;coluna B 45127;coluna C 45127
coluna A 25159;coluna B 25159;coluna C 25159
coluna A 5123;coluna B 5123;coluna C 5123
coluna A 5124;coluna B 5124;coluna C 5124
coluna A 35130;coluna B 35130;coluna C 35130
coluna A 20150;coluna B 20150;coluna C 20150
coluna A 40155;coluna B 40155;coluna C 40155
coluna A 121;coluna B 121;coluna C 121
coluna A 30163;coluna B 30163;coluna C 30163
coluna A 15151;coluna B 15151;coluna C 15151
coluna A 10148;coluna B 10148;coluna C 10148
coluna A 45128;coluna B 45128;coluna C 45128
coluna A 45129;coluna B 45129;coluna C 45129
coluna A 25160;coluna B 25160;coluna C 25160
coluna A 5125;coluna B 5125;coluna C 5125
coluna A 25161;coluna B 25161;coluna C 25161
coluna A 35131;coluna B 35131;coluna C 35131
coluna A 20151;coluna B 20151;coluna C 20151
coluna A 40156;coluna B 40156;coluna C 40156
coluna A 122;coluna B 122;coluna C 122
coluna A 30164;coluna B 30164;coluna C 30164
coluna A 15152;coluna B 15152;coluna C 15152
coluna A 10149;coluna B 10149;coluna C 10149
coluna A 45130;coluna B 45130;coluna C 45130
coluna A 5126;coluna B 5126;coluna C 5126
coluna A 25162;coluna B 25162;coluna C 25162
coluna A 35132;coluna B 35132;coluna C 35132
coluna A 35133;coluna B 35133;coluna C 35133
coluna A 20152;coluna B 20152;coluna C 20152
coluna A 40157;coluna B 40157;coluna C 40157
coluna A 123;coluna B 123;coluna C 123
coluna A 30165;coluna B 30165;coluna C 30165
coluna A 15153;coluna B 15153;coluna C 15153
coluna A 10150;coluna B 10150;coluna C 10150
coluna A 45131;coluna B 45131;coluna C 45131
coluna A 5127;coluna B 5127;coluna C 5127
coluna A 25163;coluna B 25163;coluna C 25163
coluna A 35134;coluna B 35134;coluna C 35134
coluna A 20153;coluna B 20153;coluna C 20153
coluna A 20154;coluna B 20154;coluna C 20154
coluna A 40158;coluna B 40158;coluna C 40158
coluna A 124;coluna B 124;coluna C 124
coluna A 30166;coluna B 30166;coluna C 30166
coluna A 15154;coluna B 15154;coluna C 15154
coluna A 10151;coluna B 10151;coluna C 10151
coluna A 10152;coluna B 10152;coluna C 10152
coluna A 45132;coluna B 45132;coluna C 45132
coluna A 45133;coluna B 45133;coluna C 45133
coluna A 5128;coluna B 5128;coluna C 5128
coluna A 25164;coluna B 25164;coluna C 25164
coluna A 25165;coluna B 25165;coluna C 25165
coluna A 35135;coluna B 35135;coluna C 35135
coluna A 20155;coluna B 20155;coluna C 20155
coluna A 40159;coluna B 40159;coluna C 40159
coluna A 125;coluna B 125;coluna C 125
coluna A 30167;coluna B 30167;coluna C 30167
coluna A 15155;coluna B 15155;coluna C 15155
coluna A 10153;coluna B 10153;coluna C 10153
coluna A 45134;coluna B 45134;coluna C 45134
coluna A 5129;coluna B 5129;coluna C 5129
coluna A 25166;coluna B 25166;coluna C 25166
coluna A 35136;coluna B 35136;coluna C 35136
coluna A 20156;coluna B 20156;coluna C 20156
coluna A 40160;coluna B 40160;coluna C 40160
coluna A 126;coluna B 126;coluna C 126
coluna A 30168;coluna B 30168;coluna C 30168
coluna A 15156;coluna B 15156;coluna C 15156
coluna A 10154;coluna B 10154;coluna C 10154
coluna A 45135;coluna B 45135;coluna C 45135
coluna A 5130;coluna B 5130;coluna C 5130
coluna A 25167;coluna B 25167;coluna C 25167
coluna A 35137;coluna B 35137;coluna C 35137
coluna A 20157;coluna B 20157;coluna C 20157
coluna A 40161;coluna B 40161;coluna C 40161
coluna A 40162;coluna B 40162;coluna C 40162
coluna A 127;coluna B 127;coluna C 127
coluna A 30169;coluna B 30169;coluna C 30169
coluna A 15157;coluna B 15157;coluna C 15157
coluna A 10155;coluna B 10155;coluna C 10155
coluna A 45136;coluna B 45136;coluna C 45136
coluna A 5131;coluna B 5131;coluna C 5131
coluna A 5132;coluna B 5132;coluna C 5132
coluna A 25168;coluna B 25168;coluna C 25168
coluna A 35138;coluna B 35138;coluna C 35138
coluna A 20158;coluna B 20158;coluna C 20158
coluna A 40163;coluna B 40163;coluna C 40163
coluna A 40164;coluna B 40164;coluna C 40164
coluna A 128;coluna B 128;coluna C 128
coluna A 30170;coluna B 30170;coluna C 30170
coluna A 30171;coluna B 30171;coluna C 30171
coluna A 15158;coluna B 15158;coluna C 15158
coluna A 10156;coluna B 10156;coluna C 10156
coluna A 45137;coluna B 45137;coluna C 45137
coluna A 5133;coluna B 5133;coluna C 5133
coluna A 25169;coluna B 25169;coluna C 25169
coluna A 35139;coluna B 35139;coluna C 35139
coluna A 20159;coluna B 20159;coluna C 20159
coluna A 40165;coluna B 40165;coluna C 40165
coluna A 129;coluna B 129;coluna C 129
coluna A 30172;coluna B 30172;coluna C 30172
coluna A 15159;coluna B 15159;coluna C 15159
coluna A 10157;coluna B 10157;coluna C 10157
coluna A 45138;coluna B 45138;coluna C 45138
coluna A 5134;coluna B 5134;coluna C 5134
coluna A 25170;coluna B 25170;coluna C 25170
coluna A 35140;coluna B 35140;coluna C 35140
coluna A 20160;coluna B 20160;coluna C 20160
coluna A 40166;coluna B 40166;coluna C 40166
coluna A 130;coluna B 130;coluna C 130
coluna A 131;coluna B 131;coluna C 131
coluna A 30173;coluna B 30173;coluna C 30173
coluna A 15160;coluna B 15160;coluna C 15160
coluna A 10158;coluna B 10158;coluna C 10158
coluna A 45139;coluna B 45139;coluna C 45139
coluna A 10159;coluna B 10159;coluna C 10159
coluna A 5135;coluna B 5135;coluna C 5135
coluna A 25171;coluna B 25171;coluna C 25171
coluna A 35141;coluna B 35141;coluna C 35141
coluna A 20161;coluna B 20161;coluna C 20161
coluna A 40167;coluna B 40167;coluna C 40167
coluna A 132;coluna B 132;coluna C 132
coluna A 30174;coluna B 30174;coluna C 30174
coluna A 15161;coluna B 15161;coluna C 15161
coluna A 45140;coluna B 45140;coluna C 45140
coluna A 10160;coluna B 10160;coluna C 10160
coluna A 5136;coluna B 5136;coluna C 5136
coluna A 25172;coluna B 25172;coluna C 25172
coluna A 25173;coluna B 25173;coluna C 25173
coluna A 35142;coluna B 35142;coluna C 35142
coluna A 20162;coluna B 20162;coluna C 20162
coluna A 40168;coluna B 40168;coluna C 40168
coluna A 40169;coluna B 40169;coluna C 40169
coluna A 133;coluna B 133;coluna C 133
coluna A 30175;coluna B 30175;coluna C 30175
coluna A 15162;coluna B 15162;coluna C 15162
coluna A 45141;coluna B 45141;coluna C 45141
coluna A 10161;coluna B 10161;coluna C 10161
coluna A 5137;coluna B 5137;coluna C 5137
coluna A 25174;coluna B 25174;coluna C 25174
coluna A 35143;coluna B 35143;coluna C 35143
coluna A 20163;coluna B 20163;coluna C 20163
coluna A 40170;coluna B 40170;coluna C 40170
coluna A 134;coluna B 134;coluna C 134
coluna A 30176;coluna B 30176;coluna C 30176
coluna A 15163;coluna B 15163;coluna C 15163
coluna A 45142;coluna B 45142;coluna C 45142
coluna A 10162;coluna B 10162;coluna C 10162
coluna A 5138;coluna B 5138;coluna C 5138
coluna A 25175;coluna B 25175;coluna C 25175
coluna A 35144;coluna B 35144;coluna C 35144
coluna A 20164;coluna B 20164;coluna C 20164
coluna A 40171;coluna B 40171;coluna C 40171
coluna A 135;coluna B 135;coluna C 135
coluna A 30177;coluna B 30177;coluna C 30177
coluna A 15164;coluna B 15164;coluna C 15164
coluna A 45143;coluna B 45143;coluna C 45143
coluna A 10163;coluna B 10163;coluna C 10163
coluna A 5139;coluna B 5139;coluna C 5139
coluna A 5140;coluna B 5140;coluna C 5140
coluna A 25176;coluna B 25176;coluna C 25176
coluna A 35145;coluna B 35145;coluna C 35145
coluna A 20165;coluna B 20165;coluna C 20165
coluna A 40172;coluna B 40172;coluna C 40172
coluna A 40173;coluna B 40173;coluna C 40173
coluna A 136;coluna B 136;coluna C 136
coluna A 30178;coluna B 30178;coluna C 30178
coluna A 15165;coluna B 15165;coluna C 15165
coluna A 45144;coluna B 45144;coluna C 45144
coluna A 10164;coluna B 10164;coluna C 10164
coluna A 10165;coluna B 10165;coluna C 10165
coluna A 5141;coluna B 5141;coluna C 5141
coluna A 25177;coluna B 25177;coluna C 25177
coluna A 35146;coluna B 35146;coluna C 35146
coluna A 20166;coluna B 20166;coluna C 20166
coluna A 40174;coluna B 40174;coluna C 40174
coluna A 137;coluna B 137;coluna C 137
coluna A 30179;coluna B 30179;coluna C 30179
coluna A 15166;coluna B 15166;coluna C 15166
coluna A 30180;coluna B 30180;coluna C 30180
coluna A 45145;coluna B 45145;coluna C 45145
coluna A 10166;coluna B 10166;coluna C 10166
coluna A 5142;coluna B 5142;coluna C 5142
coluna A 5143;coluna B 5143;coluna C 5143
coluna A 5144;coluna B 5144;coluna C 5144
coluna A 25178;coluna B 25178;coluna C 25178
coluna A 35147;coluna B 35147;coluna C 35147
coluna A 20167;coluna B 20167;coluna C 20167
coluna A 40175;coluna B 40175;coluna C 40175
coluna A 138;coluna B 138;coluna C 138
coluna A 15167;coluna B 15167;coluna C 15167
coluna A 30181;coluna B 30181;coluna C 30181
coluna A 15168;coluna B 15168;coluna C 15168
coluna A 45146;coluna B 45146;coluna C 45146
coluna A 10167;coluna B 10167;coluna C 10167
coluna A 5145;coluna B 5145;coluna C 5145
coluna A 25179;coluna B 25179;coluna C 25179
coluna A 35148;coluna B 35148;coluna C 35148
coluna A 20168;coluna B 20168;coluna C 20168
coluna A 40176;coluna B 40176;coluna C 40176
coluna A 139;coluna B 139;coluna C 139
coluna A 140;coluna B 140;coluna C 140
coluna A 30182;coluna B 30182;coluna C 30182
coluna A 15169;coluna B 15169;coluna C 15169
coluna A 45147;coluna B 45147;coluna C 45147
coluna A 10168;coluna B 10168;coluna C 10168
coluna A 5146;coluna B 5146;coluna C 5146
coluna A 25180;coluna B 25180;coluna C 25180
coluna A 25181;coluna B 25181;coluna C 25181
coluna A 35149;coluna B 35149;coluna C 35149
coluna A 20169;coluna B 20169;coluna C 20169
coluna A 40177;coluna B 40177;coluna C 40177
coluna A 141;coluna B 141;coluna C 141
coluna A 30183;coluna B 30183;coluna C 30183
coluna A 15170;coluna B 15170;coluna C 15170
coluna A 45148;coluna B 45148;coluna C 45148
coluna A 10169;coluna B 10169;coluna C 10169
coluna A 5147;coluna B 5147;coluna C 5147
coluna A 25182;coluna B 25182;coluna C 25182
coluna A 35150;coluna B 35150;coluna C 35150
coluna A 20170;coluna B 20170;coluna C 20170
coluna A 40178;coluna B 40178;coluna C 40178
coluna A 142;coluna B 142;coluna C 142
coluna A 30184;coluna B 30184;coluna C 30184
coluna A 15171;coluna B 15171;coluna C 15171
coluna A 45149;coluna B 45149;coluna C 45149
coluna A 10170;coluna B 10170;coluna C 10170
coluna A 5148;coluna B 5148;coluna C 5148
coluna A 25183;coluna B 25183;coluna C 25183
